id,type,title,url,published_at,captured_at,confidence
keystone-2023-official,official,鼎石2023届毕业生大学录取结果正式揭晓,https://www.keystoneacademy.cn/news-and-events/news-archive/108.html,,2026-07-29,L1
keystone-2024-official,official,鼎石2024届毕业生大学录取结果正式揭晓,https://www.keystoneacademy.cn/news-and-events/news-archive/153.html,,2026-07-29,L1
keystone-2025-official,official,鼎石2025届毕业生大学录取结果正式揭晓,https://www.keystoneacademy.cn/news-and-events/news-archive/204.html,2025-05-23,2026-07-29,L1
bcis-2023-official,official,乐成2023毕业生录取揭晓——通向梦校的路，在个性成长间,https://www.bcis.cn/cn/about/news/nnews/data_384.html,,2026-07-29,L1
bcis-2024-official,official,乐成2024录取揭晓——放眼世界多元选择，与心中「最好的」大学相遇,https://www.bcis.cn/cn/about/news/nnews/data_418.html,,2026-07-29,L1
ixedu-hz-2024,media,一篇带你看完杭州所有国际学校，升学成绩对比！,https://m.ix-edu.com/n/202404/4160.html,2024-04-01,2026-07-29,L2
qbdw-2025-jingsailian,media,七宝德怀特2025录取！2026年春招考试什么时候？（国际教育联盟）,https://www.jingsailian.com/guojixuexiao/shgjxx/1600682.html,2025-04-03,2026-07-29,L2
qbdw-2024-sohu,media,上海民办尚德/七德/位育/交中IB第二批国际学校2024升学数据出炉,https://www.sohu.com/a/773145773_121709733,2024-04-10,2026-07-29,L2
qbdw-2023-xhd,media,【升学喜报】七宝德怀特2023届毕业生大学录取情况（截至4月8日）,https://guoji.xhd.cn/sxl/6274.html,2023-04-08,2026-07-29,L2
ykpao-2025-163,media,上海包玉刚2025届录取结果分析，美本录取难在哪？,https://c.m.163.com/news/a/K2J5UCAO05365Y45.html,2025-06-21,2026-07-29,L2
xinghewan-2025-gjxx,media,上海星河湾双语学校2025届升学录取喜报,https://www.guojixuexiao.org/school/xhwsyxx/news/20205.html,,2026-07-29,L2
xinghewan-2024-gjxx,media,上海星河湾双语学校2024届升学录取喜报,https://m.guojixuexiao.net/ischool/xhwsy/news/13721.html,,2026-07-29,L2
shsid-2025-official,official,振翼凌霄｜全球考试成绩、升学成果、暑期活动,https://cn.shsid.org/info/1661/63141.htm,,2026-07-29,L1
szzx-5years-sohu,media,深圳中学国际部美本录取率高吗？近5年毕业生去向美国、英国和香港录取数据对比,https://www.sohu.com/a/973819963_100224587,,2026-07-29,L2
basis-sz-2025-gjxx,media,2025年深圳贝赛思国际学校斩获170份大学录取通知书,https://m.guojixuexiao.net/ischool/basis/news/15915.html,,2026-07-29,L2
dulwich-sz-2025-official,official,Excellent University Offers for the Class of 2025 | Dulwich International High School Programme Suzhou,https://suzhou-high-school.dulwich.org/dulwich-life/offer-data-2025-en,,2026-07-29,L1
